sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
23316,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23317,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23318,17,2,2,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
23319,11,1,1,1,3.000000,3.000000,3.000000,1.000000,1.000000,1.000000,no
23320,26,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23321,8,1,1,1,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
23322,9,2,2,2,1.500000,1.500000,1.500000,1.000000,1.000000,1.000000,no
23323,30,12,4,4,3.500000,3.500000,3.500000,1.000000,3.000000,3.000000,no
23324,13,12,4,4,1.500000,1.500000,1.500000,1.000000,3.000000,3.000000,no
23325,32,41,22,7,1.853659,1.545455,2.142857,1.000000,1.863636,5.857143,no
23326,9,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23327,21,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23328,11,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23329,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23330,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23331,22,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23332,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23333,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23334,48,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23335,30,15,7,7,1.000000,1.000000,1.000000,1.000000,2.142857,2.142857,no
23336,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23337,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23338,46,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23339,28,9,1,1,3.000000,3.000000,3.000000,1.000000,9.000000,9.000000,no
23340,19,20,6,6,2.500000,2.500000,2.500000,1.000000,3.333333,3.333333,no
23341,27,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23342,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23343,11,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23344,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23345,66,13,1,1,2.000000,2.000000,2.000000,1.000000,13.000000,13.000000,no
23346,23,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23347,26,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23348,3,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23349,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
23350,51,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
